code,report_month,region,commodity,item,year,period,value,min_value,max_value
SOYBEAN_OIL_WORLD_30,2020-10,Total Foreign,Soybean Oil,Domestic Total,2020/21 Proj.,Sep,48.45,,
SOYBEAN_OIL_WORLD_30,2020-10,Total Foreign,Soybean Oil,Exports,2020/21 Proj.,Sep,10.9,,
SOYBEAN_OIL_WORLD_30,2020-10,Total Foreign,Soybean Oil,Ending Stocks,2020/21 Proj.,Sep,3.11,,
SOYBEAN_OIL_WORLD_30,2020-10,Total Foreign,Soybean Oil,Beginning Stocks,2020/21 Proj.,Oct,3.3,,
SOYBEAN_OIL_WORLD_30,2020-10,Total Foreign,Soybean Oil,Production,2020/21 Proj.,Oct,48.84,,
SOYBEAN_OIL_WORLD_30,2020-10,Total Foreign,Soybean Oil,Imports,2020/21 Proj.,Oct,10.82,,
SOYBEAN_OIL_WORLD_30,2020-10,Total Foreign,Soybean Oil,Domestic Total,2020/21 Proj.,Oct,48.79,,
SOYBEAN_OIL_WORLD_30,2020-10,Total Foreign,Soybean Oil,Exports,2020/21 Proj.,Oct,10.9,,
SOYBEAN_OIL_WORLD_30,2020-10,Total Foreign,Soybean Oil,Ending Stocks,2020/21 Proj.,Oct,3.27,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Exporters 3/,Soybean Oil,Beginning Stocks,2020/21 Proj.,Sep,1.0,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Exporters 3/,Soybean Oil,Production,2020/21 Proj.,Sep,20.59,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Exporters 3/,Soybean Oil,Imports,2020/21 Proj.,Sep,0.45,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Exporters 3/,Soybean Oil,Domestic Total,2020/21 Proj.,Sep,12.55,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Exporters 3/,Soybean Oil,Exports,2020/21 Proj.,Sep,8.5,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Exporters 3/,Soybean Oil,Ending Stocks,2020/21 Proj.,Sep,0.99,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Exporters 3/,Soybean Oil,Beginning Stocks,2020/21 Proj.,Oct,1.14,,
SOYBEAN_OIL_WORLD_30,2020-10,Major Exporters 3/,Soybean Oil,Production,2020/21 Proj.,Oct,20.65,,
